Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
,Negroes for sale,sell,all,Baltimore,both,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350314acda27.pdf,1,,"NEGROES FOR SALE--Will be sold by virtue
of an order of Dorchester county Orphan’s
Court, on Saturday the 21st of March, between the
hours of 10 and 3 o'clock, at the Court House door, in
the town of Cambridge, from 15 to 20 negroes, men,
women and children. These negroes will positively
be sold, and without any reserve, for cash, as they are
answerable for many executions levied in the hands
of the present and late sheriff, which must be satisfied.
BARZILLAI SLACUM, administrator
of Robert Hart, deceased
mh 14 1aw4w",page 3 4th column,18350314,18350321,court_ordered,BA,Courthouse,MD,,,,American Commercial and Daily Advertiser,,BA,Barzillai,Slacum,15 to 20 slaves for sale,MD
,Wanted to Purchase,buy,16-Dec,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350317acda29.pdf,1,,"WANTED TO PURCHASE for a term of
years, a Negro Boy from 12 to 16 years of age,
who has been accustomed to act as waiter. A line addressed to C. and left at this office, stating age, price
and character, will be attended to.
mh 17 d4t",page 3 1st column,18350317,,private_dealer,,,MD,Waiter,,,American Commercial and Daily Advertiser,,,,,,MD
,A cook wanted,buy,,,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350323acda30.pdf,1,,"A COOK WANTED—Wanted in a small private family a coloured Cook who is perfectly
qualified and can come well recommended, and to such
liberal wages will be given—a slave would be preferred. Apply at this Office.	
mh 23",page 3 1st column bottom,18350323,,private_dealer,,,MD,Cook,,,American Commercial and Daily Advertiser,,,,,,MD
,a coloured boy,buy,14 - 18,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350328acda31.pdf,1,,"A COLORED BOY, between 14 and 18 years
of wage, is wanted as a waiter in a private family,
to whom good wages will be paid. None need apply but such as can come well recommended. Apply at No. 71 North Charles street.
mh 27 d6t",page 1 5th column,18350328,,private_dealer,,,MD,Waiter,,,American Commercial and Daily Advertiser,,,,,,MD
,wanted to hire,buy,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350406acda32.pdf,1,,"WANTED TO HIRE—A likely colored Boy
accustomed to waiting—Liberal wages will be
given to one that will suit. Apply at the American office.	
ap 4 4t",page 1 4th column,18350406,,private_dealer,,,MD,Waiter,,,American Commercial and Daily Advertiser,,,,,,MD
,wanted to hire,buy,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350408acda33.pdf,1,,"WANTED TO HIRE—A likely colored Boy, (a slave) accustomed to waiting—Liberal wages will be given for one that will suit. Apply at the American office.	
ap 4 4t",page 4 3rd column,18350408,,private_dealer,,,MD,,to ad 32,Slave Added,American Commercial and Daily Advertiser,,,,,,MD
,A man servant wanted,buy,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350417acda34.pdf,1,,"A MAN SERVANT WANTED-Wanted
to hire, a man servant or boy well grown, capable
of driving occasionally and doing house work; one that
can come well recommended may hear of a situation
by enquiring at this office 
ap 17 eo4t",page 3 3rd column 3rd from bottom,18340417,,private_dealer,,,MD,driving and waiting,,,American Commercial and Daily Advertiser,,,,,,MD
,a cook is wanted,buy,,,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350422acda35.pdf,1,,"A COOK IS WAITED to hire in a small private family, either by the month or year; a slave
bv the year being preferred. Satisfactory recommendations are  required, and good wages given. Apply
at this office. 	
ap 21 dtf",page 1 4th column 2nd from bottom,18350422,,private_dealer,,,MD,cook,,,American Commercial and Daily Advertiser,,,,,,MD
,wanted to purchase,buy,21-Oct,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350425acda36.pdf,2,,"WANTED TO PURCHASE-A Negro
GIRL between the age of 10 and 20 years—
also, a BOY between 10 and 21, or any age between
those periods. The advertiser wants them for his own
use—he resides in Virginia - apply at this office.
ap 25 4t*",page 3 4th column 4th down,18350425,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,,,,,VA
,for sale,sell,20-Oct,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350425acda36.pdf,2,,"WANTED TO PURCHASE-A Negro
GIRL between the age of 10 and 20 years—
also, a BOY between 10 and 21, or any age between
those periods. The advertiser wants them for his own
use—he resides in Virginia - apply at this office.
ap 25 4t*",,18350425,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,,,,,MD
