Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
18371228,Wanted,buy,,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18371227acda48.pdf,,,"WANTED--A Coloured GIRL, accustomed to house work, and waiting on the table, good references are required. Apply in Franklin street, four doors west of Charles street.
de 28 d4t*",page 3 -- 2nd column -- below half,18371227,,private_dealer,,,MD,house work and waiting tables,,,American Commercial and Daily Advertiser,,,,,Franklin Street,MD
18380726,For Sale,sell,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18380726acda1.pdf,,,"FOR SALE-A NEGRO MAN, his WIFE and
THREE CHILDREN, the oldest, a female, about
15 years of age. It is wished to sell in the State of
Maryland, and all together. The man and woman
have been accustomed to field work on tobacco plantations. Enquire at the office of the American.
jy 26 d",Three children also included; Owner wants to keep the family together but will sell out of state,18380726,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18390125,Boys Wanted,buy,,Baltimore City,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18390125acda1.pdf,,,"BOYS WANTED--3 or 4 negro Boys wanted
immediately to open Oysters. Apply at the
Intelligence Office, No. 16 Holliday street.",3-4 boys wanted; does not specify slave or free.,18390125,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,BC,,,No. 16 Holliday Street,MD
18390618,For Sale for a Term of Years,sell,under 10,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18390618acda2.pdf,,,"FOR SALE FOR A TERM OF YEARS—
A Negro Girl about 9 years of age, to serve until
she is 40 years old, she is a very likely. Apply immediately at the Real Estate Agency office. No. 16 Holliday street.
ALSO FOR SALE. For a term of years a NEGRO MAN, 25 years of age, to serve about 4 years,
he is a very stout and healthy man, and is a good farm
hand. Apply as above, No. 16 Holliday street.
je 18 4t TP",,18390618,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,BC,,,No. 16 Holliday Street,MD
18400201,Negroes Wanted,buy,,,both,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18400201acda1.pdf,,,"NEGROES WANTED—Wanted to purchase
for a term of years, to work on a farm about 12
miles from Baltimore, three YOUNG NEGROES—
two boys and a girl—for whom a fair price will be
given. The situation of the farm is healthy, and they
will meet with good usage. Inquire at this office.
fe 1 4t","2 men, 1 woman wanted",18400201,,private,,,,farmer,,,American and Commercial Daily Advertiser,,,,,,MD
18401019,For Sale,sell,28,,M,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18401019acda1.pdf,,,"FOR SALE—A likely negro MAN about 28
years of age—of good character, he is a good
Ostler, waiter, porter or farm hand; and is sold without fault. Preference will be given to persons living
in the State. For particulars enquire at this office.
oc 19 4t*",,18401019,,private,,,MD,"domestic, farmer",,,American and Commercial Daily Advertiser,,,,,,MD
18420416,A House Servant for Sale,sell,22,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18420416acda.pdf,,,"A HOUSE SERVANT FOR SALE—A Woman about 22 years of age, has eleven years to
serve and is a good house servant and cook, very obliging and of a cheerful and amiable disposition. The
woman is from the country and has lived in town but
a few months. She has a female child about 8 months
old, which will be sold with the mother for the term of
twenty one years. Enquire at this office.
ap 16 P d",8 month old child (female) sold as well,18420416,,private_dealer,BC,,MD,domestics,,,American Commercial & Daily Advertiser,,,,,,MD
18430523,Negroes Wanted.,Purchase,,Talbot,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18430919es3b.pdf,,ERROR,,"Wishes to purchase negroes. Has a large and secure jail, and well receive negroes that are for sale. Ad repeated for 1 year.",18430523,,public_dealer,,,Maryland,,,,Easton Star,4,BC,B.M.,Campbell,,Maryland
18440102,Sheriff's Sale.,Sale,,Talbot,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18440109es2.pdf,,,"Administrator's Sale of
VALUABLE NEGROES,
BY virtue of an order of the Orphans' Court of Talbot county, the subscriber will offer at public sale to the highest bidder at the front door of the Court House in the town of Easton, between the hours of 10 and 4 o'clock on Tuesday the 23d of January inst., the following Negroes belonging to the estate of Dr. James P. Dickinson, deceased, to wit: ISAAC, aged about 22 years, GARRISON, about 21, SAMUEL, about 11, HORACE, about 11, NED, about 9, MARIA, about 35, ELLEN, about 23, and FRANCIS, about 12 years of age, all slaves for life; and ALLEN, about 27 years of age, having four years to serve.
Terms of sale--a credit of six months, the purchaser giving bond and approved security before the removal of the property purchased. 
WM. H. DOWNES, administrators
of Dr. J. P. Dickinson, deceased
Jan. 9","All negroes are sold subject to a prior mortgage executed by Absalom Thompson in his lifetime to John Harrington and William Townsend on April 7, 1842. Seized and taken as the property of Thompson to satisfy debts.",18440102,18440123,public_dealer,Talbot,"Front of Court House, Easton",Maryland,Both to serve for life.,"Eliza's two children, names not known.",,Easton Star,3,TA,Jesse,"Scott, Late Sheriff",,Maryland
18440709,Constable's Sale.,Sale,,Talbot,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18440709es2b.pdf,,ERROR,,"H. Austin, Constable, was in attendance for sale. Nabb was to sell to satisfy writs and costs.",18440709,18440730,public_dealer,Talbot,"Front of Court House, Easton",Maryland,,Clementine,,Easton Star,3,TA,Edward H.,Nabb,,Maryland
